id,label
0,0
1,1
2,1
3,1
4,2
5,0
6,1
7,2
8,0
9,0
10,0
11,1
12,1
13,0
14,1
15,0
16,0
17,2
18,2
19,1
20,2
21,0
22,2
23,1
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,1
52,0
53,0
54,1
55,2
56,2
57,0
58,0
59,1
60,0
61,0
62,0
63,0
64,2
65,1
66,0
67,0
68,0
69,2
70,0
71,0
72,2
73,2
74,1
75,0
76,0
77,1
78,0
79,0
80,2
81,0
82,0
83,2
84,0
85,0
86,0
87,1
88,0
89,1
90,0
91,2
92,0
93,1
94,0
95,1
96,0
97,0
98,0
99,0
100,1
101,0
102,0
103,1
104,1
105,0
106,0
107,1
108,0
109,0
110,0
111,1
112,2
113,0
114,1
115,2
116,1
117,0
118,0
119,1
120,0
121,2
122,0
123,0
124,0
125,2
126,0
127,0
128,0
129,2
130,0
131,0
132,1
133,2
134,0
135,0
136,0
137,0
138,0
139,2
140,2
141,1
142,0
143,0
144,0
145,0
146,2
147,1
148,1
149,0
150,1
151,2
152,0
153,1
154,1
155,2
156,0
157,2
158,1
159,0
160,0
161,2
162,0
163,0
164,0
165,2
166,1
167,2
168,2
169,1
170,0
171,1
172,0
173,2
174,2
175,0
176,1
177,1
178,1
179,0
180,2
181,2
182,2
183,0
184,2
185,2
186,2
187,1
188,0
189,1
190,2
191,2
192,1
193,1
194,1
195,0
196,1
197,2
198,0
199,1
200,1
201,1
202,0
203,1
204,1
205,1
206,2
207,2
208,2
209,1
210,0
211,2
212,1
213,0
214,2
215,1
216,2
217,0
218,1
219,1
220,2
221,0
222,1
223,2
224,1
225,2
226,2
227,2
228,2
229,0
230,0
231,2
232,2
233,0
234,0
235,2
236,0
237,0
238,1
239,2
240,0
241,1
242,0
243,0
244,0
245,2
246,1
247,1
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,2
257,1
258,0
259,2
260,0
261,2
262,0
263,2
264,2
265,0
266,0
267,0
268,0
269,0
270,1
271,1
272,2
273,1
274,2
275,0
276,1
277,2
278,1
279,0
280,0
281,1
282,0
283,2
284,2
285,1
286,2
287,1
288,0
289,0
290,0
291,1
292,0
293,1
294,2
295,2
296,0
297,0
298,0
299,1
300,2
301,1
302,1
303,0
304,1
305,0
306,1
307,1
308,1
309,1
310,0
311,0
312,0
313,1
314,1
315,2
316,0
317,1
318,0
319,2
320,0
321,0
322,0
323,2
324,0
325,0
326,0
327,1
328,1
329,1
330,1
331,2
332,0
333,0
334,2
335,0
336,2
337,1
338,0
339,0
340,0
341,0
342,1
343,0
344,0
345,2
346,2
347,2
348,0
349,0
350,1
351,2
352,1
353,2
354,1
355,1
356,0
357,0
358,2
359,1
360,1
361,1
362,2
363,0
364,0
365,2
366,2
367,1
368,1
369,0
370,2
371,1
372,0
373,0
374,0
375,1
376,1
377,1
378,0
379,2
380,0
381,0
382,2
383,2
384,2
385,2
386,2
387,2
388,1
389,1
390,0
391,0
392,0
393,0
394,0
395,0
396,1
397,0
398,1
399,2
400,0
401,0
402,2
403,1
404,1
405,1
406,2
407,0
408,1
409,1
410,0
411,1
412,1
413,1
414,1
415,1
416,1
417,2
418,1
419,0
420,2
421,2
422,2
423,0
424,0
425,0
426,0
427,0
428,2
429,1
430,0
431,0
432,1
433,0
434,2
435,0
436,2
437,0
438,1
439,0
440,0
441,0
442,2
443,0
444,1
445,0
446,2
447,0
448,1
449,0
450,0
451,0
452,2
453,2
454,0
455,2
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,1
469,1
470,0
471,2
472,1
473,0
474,0
475,2
476,0
477,2
478,0
479,0
480,2
481,0
482,0
483,0
484,0
485,2
486,1
487,0
488,2
489,0
490,1
491,0
492,0
493,0
494,0
495,0
496,1
497,0
498,0
499,2
500,2
501,2
502,2
503,1
504,2
505,0
506,2
507,2
508,2
509,0
510,1
511,0
512,0
513,1
514,0
515,1
516,0
517,0
518,1
519,1
520,0
521,0
522,2
523,0
524,1
525,1
526,0
527,2
528,1
529,0
530,0
531,0
532,1
533,0
534,0
535,0
536,0
537,1
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,1
546,2
547,1
548,1
549,0
550,2
551,0
552,0
553,2
554,0
555,0
556,0
557,0
558,1
559,2
560,0
561,2
562,0
563,0
564,2
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,1
575,2
576,2
577,2
578,1
579,2
580,0
581,0
582,0
583,2
584,2
585,0
586,2
587,0
588,2
589,1
590,1
591,0
592,0
593,2
594,0
595,2
596,1
597,0
598,1
599,1
600,1
601,0
602,0
603,1
604,1
605,1
606,2
607,2
608,2
609,2
610,1
611,2
612,2
613,2
614,2
615,1
616,2
617,1
618,2
619,2
620,1
621,0
622,2
623,1
624,1
625,0
626,1
627,1
628,2
629,1
630,2
631,2
632,2
633,2
634,1
635,0
636,1
637,2
638,2
639,2
640,1
641,2
642,2
643,0
644,1
645,1
646,2
647,0
648,2
649,0
650,1
651,0
652,2
653,1
654,0
655,0
656,1
657,0
658,0
659,0
660,2
661,0
662,0
663,1
664,2
665,1
666,0
667,2
668,1
669,0
670,1
671,1
672,1
673,0
674,2
675,2
676,1
677,1
678,0
679,2
680,2
681,0
682,2
683,0
684,2
685,2
686,2
687,2
688,0
689,1
690,1
691,2
692,2
693,1
694,1
695,1
696,2
697,0
698,2
699,0
700,0
701,2
702,1
703,0
704,1
705,1
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,2
714,2
715,1
716,1
717,0
718,2
719,0
720,1
721,2
722,0
723,1
724,2
725,0
726,1
727,2
728,0
729,2
730,0
731,0
732,1
733,1
734,2
735,1
736,0
737,1
738,2
739,2
740,1
741,0
742,2
743,1
744,2
745,2
746,1
747,1
748,0
749,2
750,0
751,0
752,0
753,2
754,2
755,2
756,1
757,0
758,0
759,0
760,1
761,0
762,2
763,2
764,1
765,1
766,0
767,0
768,0
769,1
770,1
771,2
772,0
773,0
774,0
775,1
776,0
777,0
778,2
779,0
780,1
781,0
782,0
783,2
784,1
785,2
786,1
787,0
788,0
789,0
790,0
791,0
792,1
793,0
794,2
795,0
796,2
797,2
798,0
799,0
800,1
801,0
802,2
803,2
804,2
805,0
806,0
807,0
808,0
809,2
810,0
811,0
812,0
813,1
814,1
815,1
816,0
817,2
818,1
819,2
820,0
821,0
822,1
823,0
824,1
825,1
826,1
827,0
828,2
829,2
830,2
831,0
832,0
833,2
834,2
835,2
836,1
837,1
838,1
839,0
840,0
841,1
842,0
843,0
844,0
845,0
846,0
847,1
848,1
849,0
850,2
851,2
852,0
853,0
854,2
855,0
856,1
857,1
858,0
859,0
860,0
861,1
862,2
863,0
864,1
865,0
866,0
867,1
868,0
869,1
870,0
871,0
872,1
873,1
874,0
875,1
876,0
877,1
878,2
879,0
880,0
881,0
882,0
883,1
884,0
885,2
886,2
887,1
888,0
889,0
890,0
891,2
892,0
893,0
894,1
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,2
907,0
908,1
909,2
910,2
911,0
912,1
913,0
914,0
915,2
916,1
917,1
918,1
919,0
920,0
921,1
922,0
923,0
924,1
925,2
926,0
927,1
928,1
929,0
930,2
931,1
932,2
933,1
934,0
935,1
936,0
937,0
938,1
939,1
940,0
941,2
942,2
943,0
944,0
945,2
946,0
947,2
948,0
949,2
950,1
951,0
952,2
953,2
954,2
955,1
956,1
957,0
958,0
959,1
960,1
961,2
962,1
963,2
964,1
965,0
966,1
967,2
968,0
969,2
970,1
971,0
972,1
973,1
974,0
975,0
976,1
977,0
978,1
979,0
980,0
981,2
982,1
983,0
984,0
985,1
986,2
987,0
988,2
989,2
990,2
991,0
992,1
993,0
994,0
995,2
996,0
997,2
998,0
999,1
1000,1
1001,0
1002,1
1003,2
1004,1
1005,1
1006,1
1007,0
1008,2
1009,0
1010,2
1011,1
1012,0
1013,1
1014,0
1015,0
1016,1
1017,2
1018,2
1019,0
1020,0
1021,0
1022,1
1023,1
1024,0
1025,1
1026,1
1027,0
1028,2
1029,0
1030,0
1031,1
1032,0
1033,1
1034,0
1035,0
1036,2
1037,2
1038,1
1039,1
1040,2
1041,0
1042,2
1043,0
1044,0
1045,0
1046,1
1047,0
1048,0
1049,0
1050,1
1051,1
1052,0
1053,2
1054,0
1055,1
1056,1
1057,2
1058,0
1059,1
1060,2
